title,category,summary,reasoning,filename,human_category,Match,notes
Rethinking Water Governance: Moving Beyond Water-Centric Perspectives in a Connected and Changing World,Review & Synthesis,The paper argues that traditional water-centric governance approaches are inadequate for addressing many modern water challenges that are influenced by external factors beyond the water sector. It analyzes different water governance frameworks and proposes ways to move beyond water-centric perspectives by better accounting for critical external connections.,"This document fits best as a Review & Synthesis because it:1. Reviews and analyzes multiple water governance frameworks (IWRM, water security, water-energy-food nexus, water resilience)2. Synthesizes insights from these different approaches to propose new ways of thinking about water governance3. Does not present new empirical research or case studies4. Focuses on conceptual analysis and integration of existing knowledge5. Makes recommendations for future approaches based on synthesis of past work",de Loë and Patterson - 2024 - RETHINKING WATER GOVERNANCE,Theoritical Research,No,"Although the paper surveys a lot of existing literature, its main goal is not just to summarize existing findings (as a systematic review would). Instead, it�s developing and advancing a conceptual argument, which is a key distinction."
Cross-Scale Linkages in Connectivity Conservation: Adaptive governance challenges in spatially distributed networks,Case Study,"An in-depth examination of Habitat 141°, a connectivity conservation initiative in Australia that aimed to align conservation actions across large spatial scales through a network of public, private and civil society actors. The study analyzes the challenges faced in implementing adaptive governance across a spatially distributed network.","This document is clearly a Case Study because it provides a detailed empirical examination of a single organization (Habitat 141°) to explore broader theoretical questions about adaptive governance. The research uses qualitative methods including interviews, document analysis, and embedded research to analyze the specific challenges and experiences of this organization. While it references theoretical frameworks, its primary focus is on understanding how these theories play out in a real-world context through close examination of this particular case.",Env Pol Gov - 2014 - Wyborn - Cross‐Scale Linkages in Connectivity Conservation  Adaptive governance challenges in,Case Study,Yes,
Collective action in a polycentric water governance system,Case Study,"This study examines water governance reforms in Kenya's Upper Ewaso Ng'iro basin, analyzing how polycentric governance structures enable collective action across multiple governance levels. The research finds that overlapping authority between local Community Water Projects, regional Water Resource Users Associations, and national agencies, combined with formal and informal coordination mechanisms, has improved water management and reduced conflicts.","This paper fits the Case Study category because it provides an in-depth examination of a specific instance of water governance reform in Kenya, using qualitative methods including interviews, surveys, and document analysis to understand how polycentric governance enables collective action. The research focuses on understanding the mechanisms and outcomes in this particular context rather than testing broader theories or conducting large-scale empirical analysis.",Env Pol Gov - 2018 - Baldwin - Collective action in a polycentric water governance system,Case Study,Yes,
Polycentricity in the water-energy nexus: A comparison of polycentric governance traits and implications for adaptive capacity of water user associations in Spain,Case Study,"This paper examines how water user associations in Spain have adapted to water and electricity supply challenges, comparing the polycentric governance traits of the water and electricity sectors. The study focuses on the Riegos del Alto Aragon irrigation project and analyzes how differences in polycentricity across sectors affected the associations' adaptive capacity. The research found that water user associations were more successful at adapting to water scarcity than electricity price increases, which can be attributed to stronger polycentric governance traits in the water sector.","This document is classified as a Case Study because it provides an in-depth examination of a specific irrigation project (Riegos del Alto Aragon) to analyze how governance structures affect adaptation to resource challenges. The research uses both qualitative and quantitative data to examine a particular case over time, comparing responses to water and energy challenges within the same geographic and institutional context. While it draws on theoretical frameworks, its primary contribution comes from detailed empirical analysis of a specific case rather than theory development or broad empirical testing.",Env Pol Gov - 2018 - Villamayor‐Tomas - Polycentricity in the water energy nexus  A comparison of polycentric governance,Empirical Research,No,The purpose of using the case study is to test and validate theory across multiple units (38 systems) and produce findings to understand the adaptive capacity of water user associations
Breaking bad: When does polycentricity lead to maladaptation rather than adaptation?,Case Study,"This article analyzes how polycentric governance structures can lead to either adaptive or maladaptive outcomes in water management systems. Through a comparative case study of New York City and Flint, Michigan's water systems, it examines how structural features of polycentricity must be combined with functional effectiveness to achieve positive outcomes. The study finds that the mere presence of polycentric structures is insufficient - norms, incentives, power balances, wealth distribution, and leadership quality strongly influence whether polycentricity produces adaptive or maladaptive results.","This should be classified as a Case Study because it conducts an in-depth comparative analysis of two specific cases (NYC and Flint water systems) to understand how polycentricity functions in practice. While it draws on theoretical frameworks, its primary contribution comes from examining real-world examples through detailed process tracing to develop insights about when and how polycentric governance succeeds or fails. The methodology focuses on analyzing specific historical sequences and decisions within these two cases rather than testing broader theories or synthesizing multiple studies.",Env Pol Gov - 2019 - Biddle - Breaking bad  When does polycentricity lead to maladaptation rather than adaptation,Case Study,Yes,
Assessing and explaining policy coherence: A comparative study of water governance and large carnivore governance in Sweden,Empirical Research,A comparative study examining how different types of multilevel governance systems relate to policy coherence by analyzing Sweden's water and large carnivore governance systems. The research uses document analysis and survey data to assess institutional features and perceived policy coherence in both systems.,"This is classified as Empirical Research because it: 1) Collects and analyzes original data through surveys and document analysis, 2) Uses statistical methods to test relationships between variables, 3) Makes evidence-based comparisons between two governance systems, and 4) Draws conclusions based on quantitative and qualitative empirical evidence rather than purely theoretical reasoning or literature review.",Env Pol Gov - 2019 - Sandström - Assessing and explaining policy coherence  A comparative study of water governance and,Empirical Research,Yes,
Adaptive Water Governance: Assessing Institutional Prescriptions,Review & Synthesis,"This paper analyzes four key institutional prescriptions from adaptive co-management literature - polycentric governance, public participation, experimentation, and bioregional approach - by reviewing water governance literature and assessing their theoretical backing, feasibility and effectiveness.","This is a Review & Synthesis paper because it: 1) Systematically reviews and analyzes existing literature on water governance and adaptive management, 2) Synthesizes findings across multiple studies and sources to assess institutional prescriptions, 3) Does not present new empirical research or case studies, but rather integrates existing knowledge, and 4) Aims to develop a research agenda based on gaps identified through the literature review.",ES-2008-2827,Review & Synthesis,Yes,
Exploring the Emergence of Polycentric Governance in Transboundary Water Basins,Empirical Research,"This study examines whether and how non-state actors might be contributing to governance shifts toward polycentric systems in transboundary river basins, focusing on case studies of the Columbia River and Lesotho Highlands Water Project. The research identifies four key governance themes: locked-in authority arrangements, existing and emerging flexibility, novel collaboration of local activities, and cross-scale information sharing. The findings suggest limited emergence of polycentric governance that supplements rather than replaces existing state-centric governance regimes.","This is classified as Empirical Research because it: 1) Collects and analyzes primary data through 60 in-depth interviews across two case study sites, 2) Uses grounded theory methodology to inductively develop findings from the empirical data, 3) Tests theoretical concepts against real-world observations, and 4) Draws conclusions based on systematic analysis of original field research data rather than purely theoretical reasoning or literature review.",ES-2019-10852,Case Study,No,"This is in-depth analysis of two specific transboundary water governance cases and the goal is contextual understanding, not generalizable findings"
How did we get here? The evolution of a polycentric system of groundwater governance,Case Study,"This paper examines the historical development of groundwater governance institutions in California's San Gabriel River Watershed. Through analysis of six groundwater basins, it demonstrates how a polycentric governance system evolved through bottom-up processes shaped by physical resource characteristics, resource user impacts, and institutional formation over time.","This is classified as a Case Study because it provides an in-depth longitudinal examination of a specific case (San Gabriel River Watershed) to understand institutional evolution. While it includes theoretical framing, the core contribution is a detailed empirical analysis of how governance arrangements developed in this particular watershed system over time. The paper uses qualitative case study methods to trace the historical development of institutions and relationships between different governance units.",ES-2024-14830,Case Study,Yes,
Polycentricity of urban watershed governance: Towards a methodological approach,Empirical Research,This study develops indices to measure polycentricity in urban water governance using the Middle Rio Grande watershed as a case study. The research combines network science methods with analysis of institutional rules to assess how actors develop relationships across different scales and sectors of governance. The study finds that governance of the Middle Rio Grande watershed is predominantly monocentric with minimal elements of polycentricity.,"This is classified as Empirical Research because it: 1) Collects and analyzes original data from the Middle Rio Grande watershed case, 2) Develops and applies quantitative metrics (network indices) to measure real-world governance patterns, 3) Tests these metrics against actual institutional arrangements and actor relationships, and 4) Uses both statistical analysis and qualitative assessment of governance rules to validate findings. The paper presents new methodological tools and applies them to generate empirical insights about governance structures.",frimpong-boamah-2018-polycentricity-of-urban-watershed-governance-towards-a-methodological-approach,Empirical Research,Yes,
Understanding the Complexity of Water Supply System Governance: A Proposal for a Methodological Framework,Theoritical Research,"This article proposes a Water Governance Complexity Framework to analyze and understand the complexity of water governance systems. The framework integrates three key properties: diversity, nestedness, and dynamics across jurisdictional and temporal scales. The framework is demonstrated through a case study of water supply systems in Oaxaca, Mexico, revealing multiple governance modes and institutional change trajectories.","This should be classified as Theoretical Research because it primarily develops and proposes a new conceptual-methodological framework for analyzing water governance complexity. While it includes a case study application, the main contribution is theoretical - developing the framework itself by synthesizing and extending existing governance theories. The paper focuses on building and explaining the theoretical framework rather than primarily generating empirical findings.",Gumeta-Gómez et al. - 2021 - Understanding the Complexity of Water Supply System,Theoritical Research,Yes,
Indigenous Nation Participation in Klamath Water Quality Networks,Empirical Research,"This study uses social network analysis to examine how Indigenous communities like the Karuk Tribe are engaging in collaborative water quality governance networks in the Klamath Basin. The research analyzes network connections between tribal, government, NGO and other organizations through coalition memberships focused on water quality issues between 2018-2019.","This is classified as Empirical Research because it: 1) Collects and analyzes original quantitative data through social network analysis methods, 2) Tests specific hypotheses about tribal participation in governance networks, 3) Uses statistical modeling and analysis of real-world coalition membership data, and 4) Draws conclusions based on empirical evidence rather than just theory or case description.",Indigenous nations at the confluence water governance networks and system,Empirical Research,Yes,
Water Resources and Governance Approaches: Insights for Achieving Water Security,Review & Synthesis,"This paper analyzes different water governance approaches (experimental, corporate, polycentric, metagovernance and adaptive) through the lens of OECD water governance dimensions to understand how they can contribute to achieving water security. The authors evaluate the strengths and weaknesses of each approach and suggest that a combination of adaptive governance and metagovernance best encompasses the OECD dimensions of effectiveness, efficiency, and trust/engagement.","This is clearly a Review & Synthesis paper because it:1. Systematically analyzes and compares multiple governance theories2. Synthesizes existing literature rather than presenting new empirical data3. Draws conclusions by integrating concepts from different approaches4. Provides a theoretical framework for understanding water governance5. Does not present original case studies, experiments, or field research",Julio et al. - 2021 - Water Resources and Governance Approaches Insight,Review & Synthesis,Yes,
The unique role of municipalities in integrated watershed governance arrangements: a new research frontier,Review & Synthesis,"This paper analyzes the role of municipalities in water governance across multiple countries, identifying key barriers they face when engaging in watershed-level governance. The authors examine cases from El Salvador, Nicaragua, Sweden, USA, Brazil and Peru to understand common challenges municipalities encounter.","This is a Review & Synthesis paper because it: 1) Draws together insights from multiple countries and contexts to identify common patterns and challenges, 2) Does not present new empirical data or experiments, but rather synthesizes existing knowledge and experiences, 3) Develops a framework identifying four key barriers that affect municipal engagement in watershed governance, and 4) Provides recommendations for future research directions based on the synthesis of current understanding.",Mancilla García et al. - 2019 - The unique role of municipalities in integrated wa,Review & Synthesis,Yes,
Transforming Rural Water Governance: Towards Deliberative and Polycentric Models?,Review & Synthesis,"This editorial examines the evolution of water governance models from centralized command-and-control approaches to more collaborative, deliberative and polycentric systems. It analyzes how participatory environmental governance has developed in both industrialized and developing countries, discussing challenges and opportunities in implementing deliberative democracy principles in water resource management.","This is clearly a Review & Synthesis paper because it: 1) Provides a comprehensive review of literature and concepts around water governance transformation, 2) Synthesizes multiple theoretical frameworks including deliberative democracy and polycentric governance, 3) Does not present original empirical research or a specific case study, and 4) Aims to integrate and analyze existing knowledge to develop broader understanding of water governance evolution and reform.",Neef - 2009 - Transforming Rural Water Governance Towards Delib,,,
"The capacity of water governance to deal with the climate change adaptation challenge: Using fuzzy set Qualitative Comparative Analysis to distinguish between polycentric, fragmented and centralized regimes",Empirical Research,"This study analyzes water governance systems in 27 national river basins to determine which governance characteristics lead to better climate change adaptation. Using fuzzy set Qualitative Comparative Analysis, it examines how coordination and distribution of power influence adaptive capacity, finding that polycentric systems with both decentralized power and effective coordination perform best.","This is classified as Empirical Research because it: 1) Collects and analyzes original data from 27 case studies, 2) Uses systematic analytical methods (fsQCA) to test specific hypotheses, 3) Draws conclusions based on empirical evidence rather than just theory, and 4) Focuses on measuring and comparing real-world governance systems rather than developing theoretical frameworks.",Pahl-Wostl and Knieper - 2014 - The capacity of water governance to deal with the ,,,
Birds of a Feather Fight Together: Forum Involvement in a Weakly Institutionalized Ecology of Policy Games,Empirical Research,"This study analyzes how stakeholders participate in policy forums in a weakly institutionalized setting, specifically examining water governance in Argentina's Lower Valley of the Chubut River. Using social network analysis, the research investigates how perceptions of cooperation and coordination problems influence forum participation patterns.","This is classified as Empirical Research because it:1. Collects and analyzes original survey data from stakeholders2. Uses quantitative methods (social network analysis and exponential random graph models)3. Tests specific hypotheses about forum participation behavior4. Draws conclusions based on statistical analysis of observed dataThe paper follows a clear empirical research design with data collection, methodology, results, and analysis sections rather than focusing on theory development, literature synthesis, or case description.",Policy Studies Journal - 2021 - Olivier - Birds of a Feather Fight Together  Forum Involvement in a Weakly,,,
Building blocks of polycentric governance,Empirical Research,"This study develops and tests a building-blocks approach using network motifs to analyze coordination patterns in Australia's Great Barrier Reef governance system over time. The research combines quantitative network analysis with qualitative methods to examine how different patterns of coordination between actors, venues, and policy issues affect governance performance.",This is classified as Empirical Research because it:1. Collects and analyzes original data using both quantitative and qualitative methods2. Tests specific hypotheses about coordination patterns using network analysis3. Develops and validates a new methodological approach using real-world data4. Produces measurable results that are compared against random models5. Combines statistical analysis with expert knowledge to validate findings,Policy Studies Journal - 2023 - Morrison - Building blocks of polycentric governance,,,
Polycentric Environmental Governance to Achieving SDG 16: Evidence from Southeast Asia and Eastern Africa,Case Study,"This paper examines three case studies from Vietnam, Indonesia and Kenya-Somalia to demonstrate how polycentric environmental governance contributes to achieving SDG 16 (Peace, Justice and Strong Institutions). The study analyzes how political will, legal frameworks, support from higher-level government, and capacity building enable effective environmental governance across multiple scales and stakeholders.",This should be classified as a Case Study because it:1. Focuses on detailed examination of three specific real-world cases2. Uses empirical evidence from actual implementation of environmental governance programs3. Provides in-depth analysis of particular situations rather than testing theories or conducting new research4. Aims to draw lessons and insights from examining these specific examples5. Compares multiple cases to understand how polycentric governance works in different contexts,Polycentric Environmental Governance to Achieving SDG 16,,,
Polycentric Governance and Irrigation Reform in Kenya,Case Study,"This paper examines Kenya's transition from centralized to polycentric water governance through analysis of two irrigation sites - the Mwea irrigation scheme and smallholder farmers within the Likii Water Resource Users Association. It traces how Kenya's post-independence centralized control over water resources led to conflicts and inefficiencies, and how reforms in the 1990s-2000s created a more effective polycentric system with shared decision-making between local, regional and national authorities.","This article is best classified as a Case Study because it:1. Focuses on a specific phenomenon (water governance reform) in a specific context (Kenya)2. Uses multiple data sources including archival research and field interviews3. Examines changes over time through detailed analysis of two specific sites4. Aims to understand how and why reforms succeeded in this particular contextWhile the paper includes some theoretical discussion of polycentric governance, its primary contribution is an in-depth examination of how these reforms played out in practice in Kenya.",Polycentric Governance and Irrigation Reform in Kenya,,,
Polycentric Transformation in Kenyan Water Governance: A Dynamic Analysis of Institutional and Social-Ecological Change,Empirical Research,"This study examines Kenya's 2002 water governance reform that transitioned from a centralized to polycentric system. The research analyzes changes in water policy, outcomes in community and catchment-level user groups in the Mount Kenya region, and evaluates if these changes align with principles of polycentricity. Using survey data from water managers and archival research, the study tests hypotheses about local experimentation with governance rules and adaptation to local conditions.","This is classified as Empirical Research because it: 1) Tests specific hypotheses using collected data, 2) Employs multiple data collection methods including surveys, water flow measurements, and archival research, 3) Conducts statistical analysis to evaluate outcomes, and 4) Makes evidence-based conclusions about the effectiveness of policy reforms based on empirical observations. The study takes a systematic approach to gathering and analyzing data to evaluate real-world policy outcomes.",Polycentric Transformation in Kenyan Water,,,
Polycentric governance systems: addressing the power gap centered on climate entrepreneurs in Semnan Province of Iran,Empirical Research,"This study investigates polycentric governance systems in Iran's Semnan Province, analyzing how different actors and decision-making centers affect environmental governance performance. Using social network analysis of 352 actors across local to national levels, it examines network structure, power dynamics, and leadership roles, with a focus on climate entrepreneurs. The research finds that non-governmental actors, especially climate entrepreneurs and environmental NGOs, have positive effects on governance performance and network stability.",This is classified as Empirical Research because it:1. Collects and analyzes primary data through field surveys and interviews2. Uses quantitative social network analysis methods3. Tests specific hypotheses about governance network structures and performance4. Presents original findings based on observed data and statistical analysis5. Focuses on measuring and analyzing real-world governance relationships and outcomes,PolycentricgovernancesystemsaddressingthepowergapcenteredonclimateentrepreneursinSemnanProvinceofIran,,,
Assessing participatory process-system linkages in polycentric water governance,Empirical Research,"This study examines how participatory processes influence decision-making within polycentric water governance systems, focusing on the implementation of the EU Water Framework Directive in six German states. The research analyzes process-system linkages through interviews, observations, and document analysis to understand how participation affects policy implementation at different scales.","This is classified as Empirical Research because it involves primary data collection through 70 interviews, 12 process observations, and document analysis to study real-world implementation of policy. The study uses an exploratory approach to gather and analyze empirical evidence about participation processes and their effects on governance systems, rather than developing theoretical frameworks or reviewing existing literature.",Review of Policy Research - 2024 - Schröder - Assessing participatory process‐system linkages in polycentric water,,,
Disentangling Puzzles of Spatial Scales and Participation in Environmental Governance,Case Study,"This article examines how the European Water Framework Directive's re-scaling of water governance through mandated river basin management and stakeholder participation impacts democratic legitimacy and environmental effectiveness. Through comparative case studies of implementation in two German states (North Rhine Westphalia and Lower Saxony), the research analyzes participation across different scales and levels of governance.","This should be classified as a Case Study because it:1. Focuses on detailed examination of specific implementations of the Water Framework Directive in two regions2. Uses empirical evidence from interviews, document analysis and field observations3. Compares and contrasts implementation approaches between two cases4. Does not test hypotheses through controlled experiments (which would make it Empirical Research)5. Is not primarily focused on developing or expanding theory (which would make it Theoretical Research)6. While it includes some review elements, its primary contribution is through the original case analysis rather than synthesis of existing literature",s00267-016-0753-8,,,
The Evolution of Polycentric Governance in the Galapagos Small-Scale Fishing Sector,Case Study,"This study examines the collaborative governance network of the Galapagos small-scale fishing sector, analyzing how different organizations and stakeholders interact across geographical scales and administrative levels. The research uses social network analysis and qualitative methods to explore network configurations and identify key actors that could strengthen collaborative links in the governance system.","This is classified as a Case Study because it provides an in-depth examination of a specific governance system (Galapagos small-scale fishing sector) over time, using multiple analytical methods to understand its structure and evolution. The paper focuses on a single case to draw broader insights about governance networks and collaboration, rather than testing theories or conducting comparative empirical research. It uses the Galapagos example to illustrate concepts about polycentric governance while maintaining a detailed focus on this particular context.",s00267-022-01666-z,,,
"A Comparative Analysis of Water Governance, Water Management, and Environmental Performance in River Basins",Empirical Research,"This study examines relationships between water governance, management practices, and environmental performance across 29 river basins worldwide using fuzzy set Qualitative Comparative Analysis. The research found that polycentric governance combined with high income and low corruption leads to good water management. However, good environmental conditions were primarily determined by low use pressure rather than management quality.",This is classified as Empirical Research because it:1. Collects and analyzes original data from 29 river basin case studies2. Uses quantitative analytical methods (fuzzy set QCA)3. Tests specific hypotheses through systematic data analysis4. Draws conclusions based on empirical evidence rather than theory or individual cases,s11269-016-1276-z,,,
The lens of polycentricity: Identifying polycentric governance systems illustrated through examples from the field of water governance,Theoritical Research,"This paper analyzes and refines the concept of polycentric governance, proposing a framework to reduce fuzziness in its definition and application. The author examines multiple decision-making centers in governance systems through case studies of water management in Berlin and Hamburg, focusing on how different configurations of authority and coordination affect outcomes.","This paper should be classified as Theoretical Research because it: 1) Focuses on developing and refining conceptual understanding of polycentric governance rather than testing hypotheses with data; 2) Proposes new theoretical frameworks and analytical steps for identifying polycentric systems; 3) Uses case studies primarily to illustrate theoretical concepts rather than as the main empirical focus; 4) Aims to advance theory-building around how polycentric systems function. While it includes case examples, its primary contribution is theoretical development rather than empirical findings.",Schröder - 2018 - The lens of polycentricity Identifying polycentri,,,
Spatialising Agricultural Water Governance Data in Polycentric Regimes,Empirical Research,"This study analyzes water governance data in the Colorado River Basin by developing a geospatial database to map and visualize water governance boundaries and jurisdictions, with a focus on agricultural water management. The research examines how water governance data is collected, standardized, and shared across multiple jurisdictional scales.","This is classified as Empirical Research because it: 1) Collects and analyzes original data through development of a geospatial database, 2) Tests specific hypotheses about water governance data through systematic analysis of boundaries and jurisdictions, 3) Uses quantitative GIS methods and spatial analysis, and 4) Draws conclusions based on direct observation and measurement of water governance structures rather than pure theory or review of existing literature.",Sternlieb - 2015 - Spatialising Agricultural Water Governance Data in,,,
Structural Power Dynamics in Polycentric Water Governance Networks,Case Study,"This study examines power dynamics in water governance by analyzing the Lockyer Valley Catchment Action Plan process in Queensland, Australia. Using social network analysis combined with Lukes' structural power concept, the research investigates how network structure and stakeholder relationships influenced governance outcomes. The study found that formal authority, process initiation control, and information control were key power dynamics that shaped the effectiveness of the governance process.","This should be classified as a Case Study because it:1. Focuses on a single specific instance (Lockyer Valley Catchment Action Plan)2. Provides in-depth analysis of that particular governance process3. Uses multiple data sources (surveys, interviews) to examine this specific case4. Aims to understand how power dynamics operated in this particular context5. Draws conclusions from detailed examination of this single case rather than testing broader theories or analyzing multiple cases",Structural Power Dynamics in Polycentric Water Governance Networks,,,
Structural characteristics of governmental and non-governmental institutions network: case of water governance system in Kor River basin in Iran,Case Study,This study examines the water governance system and structural characteristics in Iran's Kor River basin using social network analysis. The research analyzes relationships between 21 governmental and 2 non-governmental water-related institutions in Kherameh county to determine the governance regime and assess coordination between institutions. The findings revealed an unstable network structure with low cooperation between institutions and high power centralization.,"This is classified as a Case Study because it focuses on detailed examination of a specific instance (Kor River basin governance) to understand a broader phenomenon (water governance systems). The research uses social network analysis to deeply analyze one particular case rather than conducting broader empirical research across multiple sites or developing theoretical frameworks. The study's scope, methods, and detailed analysis of a single governance system clearly align with case study methodology.",Structural_characteristics_of_,,,
